file,type,canonical,meta_desc_quality,meta_keywords,hreflang_en,hreflang_ja,hreflang_xd,alt_total,alt_bad,fareharbor_count,trust_badge,size_bytes
404.html,other,True,short,False,True,True,False,0,0,1,True,6484
about-active-oahu-tours/awards/active-oahu-llc-wins-2022-tripadvisor-travelers-choice-award-for-tours-and-activities/index.html,other,True,good,False,True,True,False,14,11,3,True,83912
about-active-oahu-tours/awards/active-oahu-recognized-one-top-10-hospitality-businesses-world/index.html,other,True,missing,False,True,True,False,14,12,3,True,81266
about-active-oahu-tours/awards/index.html,other,True,short,False,True,True,False,18,14,3,True,85861
about-active-oahu-tours/index.html,other,True,good,False,True,True,False,14,12,3,True,72981
about-active-oahu/index.html,other,True,short,False,False,False,False,20,14,6,True,84558
active-aloha-ambassador/index.html,other,False,good,False,False,False,False,19,13,6,True,99046
active-oahu-llc-wins-2022-tripadvisor-travelers-choice-award-for-tours-and-activities/index.html,other,True,short,False,True,True,False,14,11,3,True,83854
active-oahu-photo-gallery/index.html,other,True,good,False,True,True,False,73,65,3,True,85111
activities.html,other,True,short,False,False,False,False,39,32,31,True,145403
activities/aloha-aina-e-bike-adventure/index.html,activity,True,short,True,True,True,False,32,28,9,True,93199
activities/chinamans-hat-kayak-complete-self-guided-tour-guide/index.html,activity,True,short,True,True,True,False,1,0,2,True,18446
activities/chinamans-hat-kayak-rentals/index.html,activity,True,short,True,True,True,False,0,0,3,True,15165
activities/chinamans-hat-oahu-kayak-tours/index.html,activity,True,short,True,True,True,False,21,18,9,True,93807
activities/chinamans-hat-self-guided-oahu-kayak-tour/index.html,activity,True,short,True,True,True,False,29,22,9,True,97909
activities/couples-romantic-kayak-tour/index.html,activity,True,good,True,False,False,False,4,3,5,True,63669
activities/destination-yoga/index.html,activity,True,good,True,True,True,False,22,20,9,True,88850
activities/east-oahu-self-guided-kayaking-experience/index.html,activity,True,short,True,True,True,False,31,25,9,True,99767
activities/family-kayak-picnic-combo/index.html,activity,True,good,True,False,False,False,4,3,5,True,63768
activities/guided-efoil-experience/index.html,activity,True,good,True,False,False,False,20,14,6,True,96406
activities/guided-kayak-fishing/index.html,activity,True,good,True,False,False,False,20,14,6,True,95954
activities/guided-mokulua-islands-kayak-tour-and-e-bike-adventure/index.html,activity,True,good,True,True,True,False,51,41,9,True,107664
activities/guided-scubajet-experience/index.html,activity,True,good,True,False,False,False,20,14,6,True,96109
activities/haleiwa-paddleboarding/index.html,activity,True,good,True,True,True,False,24,22,9,True,90103
activities/index.html,activity,True,short,True,True,True,False,39,32,31,True,148679
activities/kahana-rainforest-river-oahu-kayak-tour/index.html,activity,True,good,True,True,True,False,25,17,9,True,97777
activities/kailua-bay-mokulua-island-self-guided-kayak-tour/index.html,activity,True,short,True,True,True,False,32,26,9,True,93106
activities/kailua-e-bike-kau-kau-guided-adventure/index.html,activity,True,good,True,True,True,False,39,36,9,True,97105
activities/kailua-flat-island-popoia-island-guided-kayak-e-bike-adventure/index.html,activity,True,good,True,True,True,False,35,28,9,True,97043
activities/kailua-kayak-twin-islands-guided-tour/index.html,activity,True,short,True,True,True,False,36,33,9,True,98304
activities/kaneohe-sandbar-kayak-rentals/index.html,activity,True,good,True,True,True,False,1,1,3,True,20645
activities/kaneohe-sandbar-kayak-ultimate-guide/index.html,activity,True,good,True,True,True,False,1,1,1,True,19490
activities/kawela-bay-self-guided-kayak-tour/index.html,activity,False,short,True,True,True,False,28,15,10,True,83831
activities/kayak-snorkel-hike-adventure/index.html,activity,True,short,True,False,False,False,4,3,5,True,64492
activities/lanikai-beach-self-guided-e-bike-snorkel-adventure/index.html,activity,True,short,True,True,True,False,38,35,9,True,98930
activities/lanikai-beach-self-guided-snorkel/index.html,activity,True,good,True,True,True,False,26,23,9,True,96048
activities/oahu-snorkel-tour/index.html,activity,True,good,True,True,True,False,0,0,0,False,4558
activities/oahu-sunset-kayak-tour/index.html,activity,True,good,True,False,False,False,4,3,5,True,64635
activities/oahu-surf-lessons/index.html,activity,True,short,True,True,True,False,24,19,9,True,90904
activities/page/2/index.html,activity,True,good,False,True,True,False,39,32,31,True,145805
activities/page/3/index.html,activity,True,short,False,True,True,False,39,32,31,True,145727
activities/popoia-island-and-kailua-bay-guided-kayak-tour/index.html,activity,True,short,True,True,True,False,38,31,9,True,97873
activities/rainforest-guided-hike/index.html,activity,True,short,True,True,True,False,21,19,9,True,87918
activities/rainforest-oahu-kayak-tour.html,activity,True,good,True,False,False,False,25,17,9,True,98152
activities/rainforest-oahu-stand-up-paddle-boarding/index.html,activity,True,short,True,True,True,False,24,21,9,True,93115
activities/sharks-cove-self-guided-snorkel/index.html,activity,True,good,True,True,True,False,37,34,9,True,100218
activities/turtle-watching-kayak-tour/index.html,activity,True,good,True,False,False,False,4,2,5,True,64025
activities/west-oahu-guided-snorkel-tour/index.html,activity,True,good,True,True,True,False,32,30,9,True,93262
adventure-guide/index.html,other,True,missing,False,False,False,False,0,0,0,False,438
ariyoshis-summer-vacation-rainforest-kayak-tour-oahu-hawaii-2017/index.html,other,True,short,False,True,True,False,14,11,3,True,71234
beach-gear-rentals/index.html,rentals,True,good,False,False,False,False,20,14,9,True,94105
become-a-partner/index.html,other,True,good,False,True,True,False,13,11,1,True,69082
cancellation-policy/index.html,other,True,good,False,True,True,False,13,11,3,True,68341
chinamans-hat-kayak-tour/index.html,other,False,missing,False,True,True,False,0,0,0,False,1440
chinamans-hat-tide-guide/index.html,other,True,short,False,False,False,False,20,14,6,True,81309
chinamans-hat/index.html,other,True,good,False,False,False,False,20,14,6,True,84300
contact-us.html,other,True,good,False,False,False,False,13,11,1,True,71418
contact-us/index.html,other,True,good,False,True,True,False,13,11,1,True,73205
electric-bike-rentals/index.html,rentals,True,good,False,False,False,False,20,14,8,True,89709
faq-oahu-beach-gear-rentals/index.html,rentals,True,good,False,True,True,False,13,11,3,True,75394
faq/faq-chinamans-hat-kayak-hike/index.html,other,True,short,False,True,True,False,13,11,3,True,74166
faq/faq-oahu-beach-gear-rentals/index.html,rentals,True,good,False,True,True,False,13,11,3,True,74707
faq/index.html,other,True,good,False,True,True,False,13,11,5,True,106675
guided-tours/index.html,other,True,good,False,False,False,False,20,14,6,True,82143
guides/best-beaches-windward-oahu/index.html,guide,True,short,False,False,False,False,20,14,6,True,108958
guides/chinamans-hat-tide-guide/index.html,guide,True,short,False,True,True,False,0,0,1,True,13615
guides/eating-your-way-windward-to-north-shore/index.html,guide,False,good,False,True,True,False,3,2,3,True,28028
